time_step,productivity,tax_rate
132,67538.5130388407,0.15
133,68232.24271071143,0.15
134,68769.74804093884,0.15
135,69090.95459091227,0.15
136,69421.43578036677,0.15
137,68212.93578036677,0.15
138,68408.38196159457,0.15
139,67590.88196159457,0.15
140,68600.47935244514,0.15
141,68767.6368793305,0.15
142,68262.6368793305,0.15
143,76874.61425190087,0.15
144,77387.90528932656,0.15
145,78275.15870745902,0.15
146,78670.36006838281,0.15
147,78130.36006838281,0.15
148,77054.36006838281,0.15
149,77223.8977883632,0.15
150,76445.3977883632,0.15
151,75798.39778836319,0.15
152,75018.89778836319,0.15
153,75478.96271870201,0.15
154,76300.08388112868,0.15
155,76053.16231038766,0.15
156,75181.66231038766,0.15
157,75104.48783672258,0.15
158,75539.72309033934,0.15
159,76214.93022294142,0.15
160,76388.67227314648,0.15
161,77810.48693185947,0.15
162,77257.98693185947,0.15
163,77307.8726278516,0.15
164,76913.4549914133,0.15
165,77412.18170128993,0.15
166,76643.18170128993,0.15
167,75687.18170128993,0.15
168,74190.18170128993,0.15
169,73587.68170128993,0.15
170,75915.57445325267,0.15
171,88658.09356354811,0.15
172,89472.14974091608,0.15
173,88919.73832202934,0.15
174,89249.21572472666,0.15
175,88389.2777781103,0.15
176,88058.81487392254,0.15
177,115235.28616570939,0.15
178,115030.84349417992,0.15
179,117019.83549906447,0.15
180,116768.3023525533,0.15
181,117678.03187622165,0.15
182,118634.92014949926,0.15
183,119597.60693183949,0.15
184,120197.46430561814,0.15
185,122937.57127582065,0.15
186,121680.57127582065,0.15
187,134618.40357978182,0.15
188,135313.0735893699,0.15
189,134299.5735893699,0.15
190,134907.01759405373,0.15
191,134618.91181674844,0.15
192,134619.71531391743,0.15
193,133571.21531391743,0.15
194,143535.52075362363,0.15
195,143315.9702296497,0.15
196,143425.37264566662,0.15
197,146933.08544828588,0.15
198,145835.58544828588,0.15
199,148927.7108610116,0.15
200,149839.90251744058,0.15
201,151049.35786167617,0.15
202,150495.23767020096,0.15
203,149350.73767020096,0.15
204,149629.4708893816,0.15
205,148201.9708893816,0.15
206,147244.4708893816,0.15
207,146388.78244207954,0.15
208,145846.17905471602,0.15
209,146058.3691801151,0.15
210,145318.04603622618,0.15
211,144810.09023240412,0.15
212,144332.99663704744,0.15
213,143669.08100760754,0.15
214,142960.56989132738,0.15
215,143383.77954995996,0.15
216,145045.39407076858,0.15
217,146113.90187650002,0.15
218,146005.9796687747,0.15
219,146197.83177140687,0.15
220,146847.11041278826,0.15
221,147337.0689352954,0.15
222,146763.21972351725,0.15
223,145805.71972351725,0.15
224,153264.47481493533,0.15
225,152274.47481493533,0.15
226,151256.9748149353,0.15
227,151079.65234322983,0.15
